id,PC1,PC2,PC3,mpa,lfm,ww.flam.sample,dw.flam.sample,site,sample.wt,spp,tti,fh,fd,gd,gti,pfg,temp.max,year.month,prop.ignite.bins10_nodate,prop.ignite.bins5_nodate,ttfg,gr
"2016_December_EPI_ADFA_(50,60]_6",2.2683729275128854,1.0022270681468977,0.00609778071598615,-9.3,50.39787798,0.17056437389770723,0.3384356261022928,St. Marys,0.509,ADFA,24,13,6,81,13,62,305.9,2016_December,94,96,11,"(50,60]"
"2016_December_EPI_ADFA_(60,70]_1",1.9085190174855025,1.0026153540319385,-0.5062800717951106,-0.5,67,0.2070179640718563,0.3089820359281437,St. Marys,0.516,ADFA,28,14,5,87,20,62,329.6,2016_December,94,91,8,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_1",-1.2995263311096297,1.0091913479124548,-1.5063329790376787,-2.7,62.83524904,0.1913976470588235,0.3046023529411765,St. Marys,0.496,ADFA,49,11,3,133,42,88,302.3,2016_December,94,96,7,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_1",1.1124876718270538,1.4878290308831237,-0.9639785250885858,-3.1,65.03667482,0.18876148148148147,0.2902385185185185,St. Marys,0.479,ADFA,31,12,5,96,25,66,281.7,2016_December,94,91,6,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_1",4.207140675443992,0.6914523899112638,-0.39909223295182017,-6.3,63.003663,0.19016629213483144,0.30183370786516855,St. Marys,0.492,ADFA,10,15,10,64,5,49,324.1,2016_December,94,96,5,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_2",-0.4218532382704544,1.8253600044522065,1.2945549698005672,-0.8,69.31818182,0.21616107382550337,0.31183892617449666,St. Marys,0.528,ADFA,46,6,2,91,24,65,296.1,2016_December,94,91,22,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_2",0.8091679019791113,1.8120072100674804,-0.548373544421858,-2.8,64.47761194,0.1744464609800363,0.2705535390199637,St. Marys,0.445,ADFA,29,6,3,91,23,65,306,2016_December,94,96,6,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_2",2.6637423739164463,1.0748107409077523,0.7348782801036005,-3.6,67.15328467,0.21051528384279472,0.3134847161572053,St. Marys,0.524,ADFA,26,15,6,69,10,53,311.9,2016_December,94,91,16,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_3",-0.4302095670172901,1.740450828895189,0.30931306439362405,-0.7,67.31707317,0.1886938775510204,0.28030612244897957,St. Marys,0.469,ADFA,41,5,3,101,26,72,282.1,2016_December,94,91,15,"(60,70]"
"2016_December_EPI_ADFA_(60,70]_3",2.00730750893844,-1.2386742572950606,0.34649315074456494,-2.7,67.54716981,0.2164932432432433,0.32050675675675677,St. Marys,0.537,ADFA,19,9,15,114,3,96,288.4,2016_December,94,91,16,"(60,70]"
